Address,Parcel ID,Final Sale Price,Closing Date,Sale Status,Buyer Status,Purchaser Type,Program,Council District,Neighborhood,Latitude,Longitude,Location
9252 Burt Rd,22107375.,3000.00,02/11/2015,Closed,Selected,Investor,Auction,7,Franklin Park,42.362114,-83.24544,"location
(42.362114, -83.24544)"
16544 Burt Rd,22107731.,1000.00,09/12/2014,Closed,Selected,Investor,Auction,1,Miller Grove,42.410253,-83.247187,"location
(42.410253, -83.247187)"
18410 Ardmore,22034800.,4800.00,06/23/2016,Closed,Selected,Homebuyer,Auction,2,Winship,42.425735,-83.184611,"location
(42.425735, -83.184611)"
17554 Freeland,22035770.,9200.00,10/28/2015,Closed,Selected,Investor,Auction,2,Winship,42.421074,-83.185785,"location
(42.421074, -83.185785)"
16650 Mark Twain,22036845.,8200.00,07/28/2015,Closed,Selected,Homebuyer,Auction,1,Hubbell-Puritan,42.413764,-83.186769,"location
(42.413764, -83.186769)"
6854 Montrose,22052798.,1000.00,12/10/2014,Closed,Selected,Investor,Auction,7,Warren Ave Community,42.342246,-83.19829,"location
(42.342246, -83.19829)"
6894 Montrose,22052803.,15800.00,05/31/2018,Closed,Selected,,Auction,7,Warren Ave Community,42.342795,-83.198311,"location
(42.342795, -83.198311)"
14011 Montrose,22053223.,2400.00,02/28/2017,Closed,Selected,Homebuyer,Auction,1,Greenfield-Grand River,42.38862,-83.200586,"location
(42.38862, -83.200586)"
453 Lakewood,21055020.,15700.00,08/10/2015,Closed,Selected,Homebuyer,Auction,4,Jefferson Chalmers,42.365396,-82.941604,"location
(42.365396, -82.941604)"
473 Chalmers,21056254.,9100.00,01/19/2016,Closed,Selected,Homebuyer,Auction,4,Jefferson Chalmers,42.366235,-82.940625,"location
(42.366235, -82.940625)"
259 Chalmers,21056295.,6300.00,08/26/2015,Closed,Selected,Homebuyer,Auction,4,Jefferson Chalmers,42.361918,-82.937798,"location
(42.361918, -82.937798)"
